0.000000,0.513970,0.484780,0.385280,0.325290,0.452390,0.363930,0.271060,0.141740,0.503200
0.513970,0.000000,0.386450,0.286880,0.285690,0.347720,0.355670,0.178630,0.081400,0.466650
0.484780,0.386450,0.000000,0.355560,0.337760,0.548610,0.238010,0.263790,0.188170,0.369560
0.385280,0.286880,0.355560,0.000000,0.354640,0.317780,0.246180,0.287870,0.214230,0.397930
0.325290,0.285690,0.337760,0.354640,0.000000,0.359660,0.280930,0.601230,0.533540,0.564800
0.452390,0.347720,0.548610,0.317780,0.359660,0.000000,0.226990,0.231230,0.210860,0.397120
0.363930,0.355670,0.238010,0.246180,0.280930,0.226990,0.000000,0.236870,0.188430,0.420970
0.271060,0.178630,0.263790,0.287870,0.601230,0.231230,0.236870,0.000000,0.568100,0.445150
0.141740,0.081400,0.188170,0.214230,0.533540,0.210860,0.188430,0.568100,0.000000,0.341630
0.503200,0.466650,0.369560,0.397930,0.564800,0.397120,0.420970,0.445150,0.341630,0.000000
