0.000000,0.030960,0.023660,0.029540,0.027150,0.020740,0.027690,0.030400,0.022640,0.031330
0.030960,0.000000,0.022880,0.026680,0.028930,0.019340,0.032830,0.024310,0.015770,0.035250
0.023660,0.022880,0.000000,0.026800,0.027710,0.024730,0.017800,0.029090,0.029540,0.022620
0.029540,0.026680,0.026800,0.000000,0.045700,0.022500,0.028920,0.049860,0.052830,0.038260
0.027150,0.028930,0.027710,0.045700,0.000000,0.027720,0.035930,0.113360,0.143240,0.059110
0.020740,0.019340,0.024730,0.022500,0.027720,0.000000,0.015950,0.023950,0.031100,0.022840
0.027690,0.032830,0.017800,0.028920,0.035930,0.015950,0.000000,0.040710,0.046110,0.040160
0.030400,0.024310,0.029090,0.049860,0.113360,0.023950,0.040710,0.000000,0.204980,0.062620
0.022640,0.015770,0.029540,0.052830,0.143240,0.031100,0.046110,0.204980,0.000000,0.068430
0.031330,0.035250,0.022620,0.038260,0.059110,0.022840,0.040160,0.062620,0.068430,0.000000
